"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\next-chapter.svg", "XML", 0, 0, 17, 0, 1, 18
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\previous-chapter.svg", "XML", 0, 0, 17, 0, 1, 18
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\reverse.svg", "XML", 0, 0, 3, 0, 1, 4
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\table-of-content.svg", "XML", 0, 0, 8, 0, 1, 9
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\to-bottom.svg", "XML", 0, 0, 11, 0, 1, 12
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\images\icons\to-top.svg", "XML", 0, 0, 11, 0, 1, 12
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\index.js", "JavaScript", 7, 0, 0, 2, 3, 12
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\pages\BibleReaderPage\index.js", "JavaScript", 22, 0, 0, 2, 8, 32
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\pages\BibleReaderPage\styles.css", "CSS", 0, 17, 0, 1, 6, 24
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\pages\HomeSearchPage\index.js", "JavaScript", 47, 0, 0, 6, 16, 69
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\pages\HomeSearchPage\styles.css", "CSS", 0, 122, 0, 4, 14, 140
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\pages\ResearchPage\index.js", "JavaScript", 22, 0, 0, 2, 7, 31
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\pages\ResearchPage\styles.css", "CSS", 0, 25, 0, 1, 5, 31
"c:\Users\chana\Documents\..WEB DESIGN\PROJECTS\React JS App\parole-de-vie\src\styles.css", "CSS", 0, 149, 0, 3, 44, 196
"Total", "-", 2553, 2697, 104, 259, 1312, 6925
